stock_code,rcept_dt,timing,weekday,news,after_dummy,bad_dummy,bad_severity,fri_dummy,is_kosdaq,log_marcap,roa,debt_ratio,past_after_ratio,p_after_hat,CAR_m1_p1
058430,20221021,Intraday,4,Bad News,0,1,0.9251968503937008,1,0,26.76637361720623,0.0413488230128824,0.6158879043433113,0.2222222222222222,0.36371499258723733,-0.04604935842987093
058430,20230127,Intraday,4,Good News,0,0,0.0,1,0,26.76637361720623,0.0456400215103094,0.533214849635164,0.2,0.2444943773695968,-0.026533682318086373
058430,20230426,After-hours,2,Bad News,1,1,0.9476439790575916,0,0,26.76637361720623,0.0456400215103094,0.533214849635164,0.18181818181818182,0.3483625896974534,-0.03039282026373616
058430,20230721,Intraday,4,Good News,0,0,0.0,1,0,26.76637361720623,0.0456400215103094,0.533214849635164,0.25,0.27517368729206027,0.2728012877622927
058430,20231023,Intraday,0,Bad News,0,1,0.11475409836065574,0,0,26.76637361720623,0.0456400215103094,0.533214849635164,0.23076923076923078,0.3810457052648413,0.017695961809583934
058430,20240424,Intraday,2,Bad News,0,1,0.5915032679738562,0,0,26.76637361720623,0.0633633248480239,0.4451181655324728,0.21428571428571427,0.3707366217631193,0.000949514558980946
058430,20240725,Intraday,3,Good News,0,0,0.0,0,0,26.76637361720623,0.0633633248480239,0.4451181655324728,0.2,0.25605972638353935,-0.0444610891251629
058430,20241030,Intraday,2,Bad News,0,1,0.33548387096774196,0,0,26.76637361720623,0.0633633248480239,0.4451181655324728,0.1875,0.349949730634332,-0.004930184959974985
058430,20250203,Intraday,0,Good News,0,0,0.0,0,0,26.76637361720623,0.0357957711815147,0.3098773007192457,0.17647058823529413,0.24201082231251275,0.05694302759336616
058430,20250424,Intraday,3,Bad News,0,1,0.13138686131386862,0,0,26.76637361720623,0.0357957711815147,0.3098773007192457,0.16666666666666666,0.33414251908676346,-0.010177522817372405
058430,20250731,Intraday,3,Bad News,0,1,0.5378151260504201,0,0,26.76637361720623,0.0357957711815147,0.3098773007192457,0.15789473684210525,0.32957444275861997,-0.04465932373195037
058610,20201111,Intraday,2,Good News,0,0,0.0,0,1,28.663370295344848,0.0488247119596049,0.991796225263776,0.0,0.12368980035832679,0.0535422502568074
058610,20210510,After-hours,0,Bad News,1,1,0.31766704416761044,0,1,28.663370295344848,0.0627738954667798,0.8907692835764255,0.0,0.18678126003994033,-0.01917176453179866
058610,20211110,Intraday,2,Good News,0,0,0.0,0,1,28.663370295344848,0.0627738954667798,0.8907692835764255,0.5,0.4106473561079008,0.008765698937008709
058610,20220225,Intraday,4,Bad News,0,1,0.22867393037470105,1,1,28.663370295344848,0.0555466484811801,0.659746229689092,0.3333333333333333,0.3846414477357938,-0.003264974247464981
058610,20220512,Intraday,3,Good News,0,0,0.0,0,1,28.663370295344848,0.0555466484811801,0.659746229689092,0.25,0.23873695745924683,0.01506165009880003
058610,20220812,Intraday,4,Bad News,0,1,0.291213768115942,1,1,28.663370295344848,0.0555466484811801,0.659746229689092,0.2,0.2901763589430341,-0.03820512496361763
058610,20230227,After-hours,0,Bad News,1,1,0.23410404624277456,0,1,28.663370295344848,0.0316877802425314,0.5851247098436356,0.16666666666666666,0.2808261249208986,-0.019544643727456488
058610,20230512,Intraday,4,Good News,0,0,0.0,1,1,28.663370295344848,0.0316877802425314,0.5851247098436356,0.2857142857142857,0.24839049859559056,-0.0013354583568902859
058610,20230811,Intraday,4,Bad News,0,1,0.19807724183656555,1,1,28.663370295344848,0.0316877802425314,0.5851247098436356,0.25,0.3237567931441484,0.008850371720542972
058610,20231110,Intraday,4,Bad News,0,1,0.4933856965688301,1,1,28.663370295344848,0.0316877802425314,0.5851247098436356,0.2222222222222222,0.30578918621630197,-0.03415945422940182
058610,20240514,Intraday,1,Good News,0,0,0.0,0,1,28.663370295344848,0.0329893838452073,0.56418076632107,0.2,0.2109377838866576,-0.01834720010271298
