corp_code,year,status,message,total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,stock_code,corp_name,market,debt_ratio,roa,operating_margin,log_assets
00141246,2019,000,정상,2034408015458.0,1515163710230.0,519244305228.0,1698474766463.0,76950798708.0,31525628941.0,016250,SGC E&C,KOSDAQ,2.9180170008117705,0.015496217426130585,0.04530582392357038,28.34122599100822
00141246,2020,000,정상,663630036116.0,525935554552.0,137694481564.0,1135750987281.0,-36417532959.0,180746432112.0,016250,SGC E&C,KOSDAQ,3.819583389095711,0.2723602342803034,-0.0320647160925512,27.220990656619342
00141246,2021,000,정상,591722026513.0,387466565470.0,204255461043.0,1307921662550.0,69077041588.0,69577003929.0,016250,SGC E&C,KOSDAQ,1.8969704089744277,0.11758393436697832,0.05281435698015995,27.106302811748265
00141246,2022,000,정상,973525647536.0,727213982033.0,246311665503.0,1523333467679.0,33204579097.0,51995982486.0,016250,SGC E&C,KOSDAQ,2.9524138881036586,0.05340997704333952,0.0217973147715264,27.604190007108592
00141246,2023,000,정상,859979057519.0,641642480364.0,218336577155.0,1863679592064.0,-21587161938.0,-34090257429.0,016250,SGC E&C,KOSDAQ,2.9387768587600855,-0.039640799541501424,-0.011583086507961655,27.480173874175364
00141246,2024,000,정상,1298757519884.0,981780706262.0,316976813622.0,1205586883178.0,10557121015.0,-49045624796.0,016250,SGC E&C,KOSDAQ,3.0973265679703292,-0.03776349629943283,0.008756831351026971,27.89242916943664
00141246,2025,000,정상,1363940217884.0,1031815625701.0,332124592183.0,1342032374780.0,52749511611.0,-74826698792.0,016250,SGC E&C,KOSDAQ,3.1067125108654152,-0.05486068803520232,0.03930569232329231,27.94139884585853
00120076,2019,000,정상,4875982304085.0,3327366254250.0,1548616049835.0,10530857111717.0,134784427823.0,-14860961304.0,001120,LX인터내셔널,KOSPI,2.148606334413569,-0.0030477881947089482,0.012798998827268688,29.215342698354153
00120076,2020,000,정상,5395942204029.0,3637611206460.0,1758330997569.0,11282632389570.0,159835470836.0,361606498922.0,001120,LX인터내셔널,KOSPI,2.0687863726961644,0.06701452410887546,0.014166505237178217,29.31666834332511
00120076,2021,000,정상,6746889021744.0,4362644678498.0,2384244343246.0,16686532633651.0,656217086586.0,540331627454.0,001120,LX인터내셔널,KOSPI,1.8297808657306203,0.08008604050142357,0.039326150075219085,29.540102628904986
