stock_code,corp_code,corp_name,induty_code,sector
051900,00356370,LG생활건강,20422,Chemicals/Materials
092870,00611736,엑시콘,29271,Machinery/Transportation
018260,00126186,삼성에스디에스,62021,IT/Electronics
000660,00164779,SK하이닉스,2612,IT/Electronics
067830,00422895,세이브존I&C,47111,Consumer
084990,00359395,헬릭스미스,70113,Services
028260,00149655,삼성물산,467,Consumer
237690,00871833,에스티팜,212,Biotech/Healthcare
023900,00155452,풍국주정,11121,Consumer
218410,01078178,RFHIC,264,IT/Electronics
086520,00536541,에코프로,64992,Finance
089980,00181299,상아프론테크,222,Chemicals/Materials
195870,01032413,해성디에스,262,IT/Electronics
094480,00587457,갤럭시아머니트리,58221,IT/Electronics
004170,00136378,신세계,47111,Consumer
080220,00447487,제주반도체,2611,IT/Electronics
098460,00579999,고영,29271,Machinery/Transportation
139480,00872984,이마트,471,Consumer
036460,00261285,한국가스공사,35200,Energy
010140,00126478,삼성중공업,3111,Machinery/Transportation
237880,00957735,클리오,20423,Chemicals/Materials
034230,00171265,파라다이스,91249,Services
114090,00557508,GKL,91249,Services
010780,00115977,아이에스동서,2332,Chemicals/Materials
095610,00524421,테스,29271,Machinery/Transportation
084870,00409672,티비에이치글로벌,141,Consumer
080160,00456218,모두투어,75210,Other
170900,00956930,동아에스티,212,Biotech/Healthcare
041830,00269922,인바디,27199,IT/Electronics
036420,00203315,콘텐트리중앙,591,Services
057050,00412597,현대홈쇼핑,47919,Consumer
042000,00260879,카페24,63112,IT/Electronics
104480,00693554,티케이케미칼,20501,Chemicals/Materials
016740,00119672,두올,303,Machinery/Transportation
189980,00916516,흥국에프엔비,11209,Consumer
084110,00228059,휴온스글로벌,212,Biotech/Healthcare
120030,00796994,조선선재,2599,Machinery/Transportation
000590,00149026,CS홀딩스,64992,Finance
068240,00523307,다원시스,2811,Machinery/Transportation
000540,00103176,흥국화재,65121,Finance
036710,00152127,심텍홀딩스,715,Services
222800,01095722,심텍,2622,IT/Electronics
000880,00160588,한화,20494,Chemicals/Materials
085620,00112332,미래에셋생명,65110,Finance
013360,00146232,일성건설,41221,Construction
260930,01144028,씨티케이,20423,Chemicals/Materials
263720,01186404,디앤씨미디어,581,IT/Electronics
010400,00143262,우진아이엔에스,422,Construction
068270,00413046,셀트리온,21100,Biotech/Healthcare
005440,00105280,현대지에프홀딩스,64992,Finance
078140,00442826,대봉엘에스,212,Biotech/Healthcare
067170,00397289,오텍,304,Machinery/Transportation
145720,00526599,덴티움,27191,IT/Electronics
140910,00860730,에이리츠,68121,Construction
001450,00164973,현대해상,65121,Finance
271560,01238169,오리온,108,Consumer
058730,00353878,다스코,25112,Machinery/Transportation
015760,00159193,한국전력공사,35120,Energy
121600,00439965,나노신소재,2049,Chemicals/Materials
122870,00613318,와이지엔터테인먼트,59201,Services
140860,00244747,파크시스템스,27219,IT/Electronics
093320,00603348,케이아이엔엑스,63112,IT/Electronics
088350,00113058,한화생명,65110,Finance
243070,01159853,휴온스,212,Biotech/Healthcare
003070,00152880,코오롱글로벌,41221,Construction
033780,00244455,케이티앤지,12000,Consumer
024880,00157636,케이피에프,259,Machinery/Transportation
005830,00159102,DB손해보험,65121,Finance
012450,00126566,한화에어로스페이스,31321,Machinery/Transportation
009580,00119007,무림P&P,171,Chemicals/Materials
000810,00139214,삼성화재해상보험,65121,Finance
009830,00162461,한화솔루션,20111,Chemicals/Materials
032580,00189538,피델릭스,2611,IT/Electronics
234100,00617998,폴라리스세원,303,Machinery/Transportation
120110,00795135,코오롱인더,205,Chemicals/Materials
078520,00400857,에이블씨엔씨,20423,Chemicals/Materials
039570,00350312,HDC랩스,423,Construction
100120,00609324,뷰웍스,27199,IT/Electronics
019210,00139719,와이지-원,25934,Machinery/Transportation
059090,00366942,미코,261,IT/Electronics
036830,00247975,솔브레인홀딩스,715,Services
047820,00299464,초록뱀미디어,59114,Services
192440,00917861,슈피겐코리아,339,Machinery/Transportation
049960,00357430,쎌바이오텍,211,Biotech/Healthcare
249420,01168383,일동제약,212,Biotech/Healthcare
000230,00146083,일동홀딩스,212,Biotech/Healthcare
119610,00604426,인터로조,271,IT/Electronics
143210,00119140,핸즈코퍼레이션,303,Machinery/Transportation
035600,00264547,KG이니시스,58221,IT/Electronics
099190,00550994,아이센스,27112,IT/Electronics
200670,00614478,휴메딕스,212,Biotech/Healthcare
115160,00787057,휴맥스,465,Consumer
051600,00159218,한전KPS,42311,Construction
096240,00525882,크레버스,855,Other
200130,01032404,콜마비앤에이치,211,Biotech/Healthcare
004690,00128555,삼천리,35200,Energy
002380,00105271,케이씨씨,20411,Chemicals/Materials
214420,00816544,토니모리,20423,Chemicals/Materials
077500,00414601,유니퀘스트,4659,Consumer
095720,00628189,웅진씽크빅,85120,Other
023530,00120526,롯데쇼핑,47111,Consumer
240810,01135941,원익IPS,292,Machinery/Transportation
035760,00265324,CJ ENM,602,Services
021240,00170558,코웨이,969,Other
