date,close,updown,comp,change,open,high,low,volume,amount,marcap,index_type
2019-04-19,2216.15,1,2.38,0.0011,2223.42,2225.37,2215.58,525263603,4965672211178,1468420930045869.0,KOSPI
2019-04-22,2216.65,1,0.5,0.0002,2218.5,2227.94,2207.25,493984426,4639971396933,1468803476988435.0,KOSPI
2019-04-23,2220.51,1,3.86,0.0017,2217.61,2223.92,2212.14,481177693,4922937803418,1471093767629332.0,KOSPI
2019-04-24,2201.03,2,-19.48,-0.0088,2229.75,2229.75,2190.29,575099947,6342430060053,1459265698733680.0,KOSPI
2019-04-25,2190.5,2,-10.53,-0.0048,2195.47,2200.89,2187.44,441137220,5610697148270,1452279955041841.0,KOSPI
2019-04-26,2179.31,2,-11.19,-0.0051,2178.13,2186.52,2168.15,570172114,5346145628898,1445304534300290.0,KOSPI
2019-04-29,2216.43,1,37.12,0.017,2183.41,2216.43,2181.82,380823202,4985905996916,1469579228609255.0,KOSPI
2019-04-30,2203.59,2,-12.84,-0.0058,2213.43,2215.77,2186.33,381413638,5697107343143,1461526970030485.0,KOSPI
2019-05-02,2212.75,1,9.16,0.0042,2192.94,2217.03,2191.3,369059331,5026634171010,1467462906862524.0,KOSPI
2019-05-03,2196.32,2,-16.43,-0.0074,2209.44,2211.36,2192.36,617877728,5297907288528,1456663139182857.0,KOSPI
2019-05-07,2176.99,2,-19.33,-0.0088,2172.39,2179.51,2160.44,484097411,5467056820124,1443681620648764.0,KOSPI
2019-05-08,2168.01,2,-8.98,-0.0040999999999999,2151.34,2179.34,2151.34,456333730,5170590567606,1437428069486080.0,KOSPI
2019-05-09,2102.01,2,-66.0,-0.0304,2159.79,2164.98,2102.01,743506582,8236437835734,1393596819333551.0,KOSPI
2019-05-10,2108.04,1,6.03,0.0029,2118.42,2124.92,2090.39,714766047,6407849437506,1397898972342239.0,KOSPI
2019-05-13,2079.01,2,-29.03,-0.0138,2091.8,2101.09,2077.72,505750965,4601110960483,1378695078971849.0,KOSPI
2019-05-14,2081.84,1,2.83,0.0014,2060.24,2093.41,2056.74,696195115,5865911939540,1379906842807898.0,KOSPI
2019-05-15,2092.78,1,10.94,0.0053,2081.92,2100.01,2076.46,577794538,5052873495733,1386708606204295.0,KOSPI
2019-05-16,2067.69,2,-25.09,-0.012,2094.88,2095.58,2062.44,745164325,6042439759139,1369732050106538.0,KOSPI
2019-05-17,2055.8,2,-11.89,-0.0058,2081.57,2082.83,2053.79,537380478,5378895113211,1361632447436614.0,KOSPI
