corp_code,stock_code,corp_name,market,code,name,market_krx,marcap,log_marcap
00171636,004150,한솔홀딩스,KOSPI,004150,한솔홀딩스,KOSPI,151798494000,25.74581978091011
00997812,183300,코미코,KOSDAQ,183300,코미코,KOSDAQ,1632912772400,28.12138651293602
00261443,036570,NC,KOSPI,036570,NC,KOSPI,5849201973000,29.397326352995165
01010110,192080,더블유게임즈,KOSPI,192080,더블유게임즈,KOSPI,1251351958800,27.85524564981052
01010642,144510,지씨셀,KOSDAQ,144510,지씨셀,KOSDAQ,343657482000,26.562911306428916
01262032,286940,롯데이노베이트,KOSPI,286940,롯데이노베이트,KOSPI,335871947400,26.53999581534058
01060744,213500,한솔제지,KOSPI,213500,한솔제지,KOSPI,172554176000,25.87397708787824
00405719,052460,아이크래프트,KOSDAQ,052460,아이크래프트,KOSDAQ,48425307840,24.603288403266244
00148832,006220,제주은행,KOSPI,006220,제주은행,KOSPI,425233766250,26.775904892890537
00571483,138080,오이솔루션,KOSDAQ,138080,오이솔루션,KOSDAQ,506869190100,26.951518799555576
00222532,037560,LG헬로비전,KOSPI,037560,LG헬로비전,KOSPI,174255446250,25.883788141478806
